actor_id,first_name,last_name
92,KIRSTEN,AKROYD
182,DEBBIE,AKROYD
58,CHRISTIAN,AKROYD
145,KIM,ALLEN
194,MERYL,ALLEN
118,CUBA,ALLEN
76,ANGELINA,ASTAIRE
112,RUSSELL,BACALL
67,JESSICA,BAILEY
190,AUDREY,BAILEY
115,HARRISON,BALE
187,RENEE,BALL
47,JULIA,BARRYMORE
158,VIVIEN,BASINGER
174,MICHAEL,BENING
124,SCARLETT,BENING
14,VIVIEN,BERGEN
121,LIZA,BERGMAN
91,CHRISTOPHER,BERRY
60,HENRY,BERRY
12,KARL,BERRY
189,CUBA,BIRCH
25,KEVIN,BLOOM
185,MICHAEL,BOLGER
37,VAL,BOLGER
98,CHRIS,BRIDGES
39,GOLDIE,BRODY
159,LAURA,BRODY
167,LAURENCE,BULLOCK
40,JOHNNY,CAGE
11,ZERO,CAGE
181,MATTHEW,CARREY
86,GREG,CHAPLIN
176,JON,CHASE
3,ED,CHASE
183,RUSSELL,CLOSE
16,FRED,COSTNER
26,RIP,CRAWFORD
129,DARYL,CRAWFORD
49,ANNE,CRONYN
104,PENELOPE,CRONYN
105,SIDNEY,CROWE
57,JUDE,CRUISE
80,RALPH,CRUZ
81,SCARLETT,DAMON
101,SUSAN,DAVIS
110,SUSAN,DAVIS
4,JENNIFER,DAVIS
48,FRANCES,DAY-LEWIS
35,JUDY,DEAN
143,RIVER,DEAN
138,LUCILLE,DEE
148,EMILY,DEE
41,JODIE,DEGENERES
166,NICK,DEGENERES
107,GINA,DEGENERES
89,CHARLIZE,DENCH
123,JULIANNE,DENCH
160,CHRIS,DEPP
100,SPENCER,DEPP
109,SYLVESTER,DERN
173,ALAN,DREYFUSS
188,ROCK,DUKAKIS
36,BURT,DUKAKIS
106,GROUCHO,DUNST
199,JULIA,FAWCETT
19,BOB,FAWCETT
10,CHRISTIAN,GABLE
184,HUMPHREY,GARLAND
127,KEVIN,GARLAND
165,AL,GARLAND
154,MERYL,GIBSON
46,PARKER,GOLDBERG
191,GREGORY,GOODING
139,EWAN,GOODING
71,ADAM,GRANT
1,PENELOPE,GUINESS
179,ED,GUINESS
90,SEAN,GUINESS
175,WILLIAM,HACKMAN
32,TIM,HACKMAN
56,DAN,HARRIS
141,CATE,HARRIS
152,BEN,HARRIS
97,MEG,HAWKE
151,GEOFFREY,HESTON
28,WOODY,HOFFMAN
79,MAE,HOFFMAN
169,KENNETH,HOFFMAN
161,HARVEY,HOPE
113,MORGAN,HOPKINS
50,NATALIE,HOPKINS
134,GENE,HOPKINS
170,MENA,HOPPER
132,ADAM,HOPPER
65,ANGELA,HUDSON
52,CARMEN,HUNT
140,WHOOPI,HURT
119,WARREN,JACKMAN
131,JANE,JACKMAN
146,ALBERT,JOHANSSON
8,MATTHEW,JOHANSSON
64,RAY,JOHANSSON
82,WOODY,JOLIE
43,KIRK,JOVOVICH
74,MILLA,KEITEL
198,MARY,KEITEL
130,GRETA,KEITEL
153,MINNIE,KILMER
23,SANDRA,KILMER
162,OPRAH,KILMER
55,FAY,KILMER
45,REESE,KILMER
103,MATTHEW,LEIGH
5,JOHNNY,LOLLOBRIGIDA
157,GRETA,MALDEN
136,ED,MANSFIELD
22,ELVIS,MARX
77,CARY,MCCONAUGHEY
70,MICHELLE,MCCONAUGHEY
114,MORGAN,MCDORMAND
38,TOM,MCKELLEN
177,GENE,MCKELLEN
128,CATE,MCQUEEN
27,JULIA,MCQUEEN
42,TOM,MIRANDA
178,LISA,MONROE
120,PENELOPE,MONROE
7,GRACE,MOSTEL
99,JIM,MOSTEL
61,CHRISTIAN,NEESON
62,JAYNE,NEESON
6,BETTE,NICHOLSON
108,WARREN,NOLTE
122,SALMA,NOLTE
125,ALBERT,NOLTE
150,JAYNE,NOLTE
15,CUBA,OLIVIER
34,AUDREY,OLIVIER
21,KIRSTEN,PALTROW
69,KENNETH,PALTROW
30,SANDRA,PECK
33,MILLA,PECK
87,SPENCER,PECK
73,GARY,PENN
133,RICHARD,PENN
88,KENNETH,PESCI
171,OLYMPIA,PFEIFFER
51,GARY,PHOENIX
54,PENELOPE,PINKETT
84,JAMES,PITT
75,BURT,POSEY
93,ELLEN,PRESLEY
135,RITA,REYNOLDS
142,JADA,RYDER
195,JAYNE,SILVERSTONE
180,JEFF,SILVERSTONE
78,GROUCHO,SINATRA
31,SISSY,SOBIESKI
44,NICK,STALLONE
24,CAMERON,STREEP
116,DAN,STREEP
192,JOHN,SUVARI
9,JOE,SWANK
155,IAN,TANDY
66,MARY,TANDY
59,DUSTIN,TAUTOU
53,MENA,TEMPLE
193,BURT,TEMPLE
149,RUSSELL,TEMPLE
200,THORA,TEMPLE
126,FRANCES,TOMEI
94,KENNETH,TORN
102,WALTER,TORN
18,DAN,TORN
117,RENEE,TRACY
20,LUCILLE,TRACY
17,HELEN,VOIGHT
2,NICK,WAHLBERG
95,DARYL,WAHLBERG
196,BELA,WALKEN
29,ALEC,WAYNE
163,CHRISTOPHER,WEST
197,REESE,WEST
172,GROUCHO,WILLIAMS
72,SEAN,WILLIAMS
137,MORGAN,WILLIAMS
83,BEN,WILLIS
96,GENE,WILLIS
164,HUMPHREY,WILLIS
168,WILL,WILSON
68,RIP,WINSLET
147,FAY,WINSLET
144,ANGELA,WITHERSPOON
156,FAY,WOOD
13,UMA,WOOD
63,CAMERON,WRAY
85,MINNIE,ZELLWEGER
111,CAMERON,ZELLWEGER
186,JULIA,ZELLWEGER
